	Zn	bo
OG0000010	Znev_11005	Bo_m.157794, Bo_m.173504, Bo_m.190417, Bo_m.192282, Bo_m.192283, Bo_m.200021, Bo_m.200025, Bo_m.203875, Bo_m.220069, Bo_m.220072, Bo_m.220075, Bo_m.220079, Bo_m.220081, Bo_m.225565, Bo_m.225568, Bo_m.225583, Bo_m.236272, Bo_m.236275, Bo_m.250714, Bo_m.250726, Bo_m.289774, Bo_m.289777, Bo_m.289778, Bo_m.290879, Bo_m.300786, Bo_m.304870, Bo_m.308348, Bo_m.319913, Bo_m.358809, Bo_m.50110, Bo_m.67655, Bo_m.85309, Bo_m.85329
OG0000011	Znev_11444	Bo_m.102627, Bo_m.14860, Bo_m.209099, Bo_m.209100, Bo_m.209101, Bo_m.319578, Bo_m.319582, Bo_m.319587, Bo_m.319589, Bo_m.319591, Bo_m.351190, Bo_m.351193, Bo_m.351195, Bo_m.351198, Bo_m.351200, Bo_m.351202, Bo_m.351204, Bo_m.361625, Bo_m.41523, Bo_m.41525, Bo_m.68157, Bo_m.98119, Bo_m.98122, Bo_m.98125, Bo_m.98127, Bo_m.98129, Bo_m.98132, Bo_m.98134, Bo_m.98136, Bo_m.98138, Bo_m.98139, Bo_m.98141
OG0000012	Znev_14682	Bo_m.108191, Bo_m.108192, Bo_m.112030, Bo_m.112032, Bo_m.115634, Bo_m.126035, Bo_m.177811, Bo_m.190701, Bo_m.190702, Bo_m.237123, Bo_m.276369, Bo_m.284422, Bo_m.287583, Bo_m.290828, Bo_m.291250, Bo_m.291252, Bo_m.291256, Bo_m.305605, Bo_m.354739, Bo_m.365868, Bo_m.365869, Bo_m.365870, Bo_m.382727, Bo_m.41513, Bo_m.52219, Bo_m.52223, Bo_m.60212, Bo_m.60213, Bo_m.60214, Bo_m.68158, Bo_m.80288
OG0000013	Znev_16085	Bo_m.113236, Bo_m.113247, Bo_m.113249, Bo_m.160955, Bo_m.160959, Bo_m.160964, Bo_m.160967, Bo_m.160969, Bo_m.160971, Bo_m.160975, Bo_m.167421, Bo_m.167422, Bo_m.167425, Bo_m.167428, Bo_m.167432, Bo_m.167434, Bo_m.172383, Bo_m.172401, Bo_m.185115, Bo_m.185120, Bo_m.193743, Bo_m.197355, Bo_m.222521, Bo_m.257654, Bo_m.293885, Bo_m.299382, Bo_m.308774, Bo_m.308776, Bo_m.338216, Bo_m.367639, Bo_m.88587
OG0000014	Znev_04183	Bo_m.30310, Bo_m.30325, Bo_m.30343, Bo_m.30361, Bo_m.30383, Bo_m.30397, Bo_m.30416, Bo_m.30425, Bo_m.30444, Bo_m.30466, Bo_m.30474, Bo_m.30489, Bo_m.30504, Bo_m.30522, Bo_m.30536, Bo_m.30554, Bo_m.30573, Bo_m.30587, Bo_m.30609, Bo_m.30617, Bo_m.30642, Bo_m.30667, Bo_m.30686, Bo_m.30695, Bo_m.30713, Bo_m.30719, Bo_m.30758, Bo_m.30772
OG0000015	Znev_07927, Znev_11471, Znev_14201	Bo_m.131985, Bo_m.131987, Bo_m.131988, Bo_m.173120, Bo_m.221348, Bo_m.259488, Bo_m.271800, Bo_m.271802, Bo_m.271805, Bo_m.271813, Bo_m.271821, Bo_m.286290, Bo_m.286291, Bo_m.299346, Bo_m.299348, Bo_m.326915, Bo_m.326917, Bo_m.348596, Bo_m.372111, Bo_m.85444, Bo_m.85999, Bo_m.86000, Bo_m.86004, Bo_m.99674, Bo_m.99686, Bo_m.99696
OG0000016	Znev_03680, Znev_04943, Znev_09148, Znev_09153, Znev_09154, Znev_09157, Znev_09162, Znev_09167, Znev_10835, Znev_12355, Znev_14640, Znev_14752, Znev_14754, Znev_14941, Znev_15399, Znev_15747, Znev_15971, Znev_16030, Znev_16464, Znev_16472, Znev_16473, Znev_17195, Znev_17230, Znev_17644, Znev_18135, Znev_18315, Znev_18632	
OG0000017	Znev_16066, Znev_18727	Bo_m.185760, Bo_m.186061, Bo_m.186066, Bo_m.186069, Bo_m.186070, Bo_m.186073, Bo_m.187280, Bo_m.190480, Bo_m.190483, Bo_m.226976, Bo_m.226977, Bo_m.23721, Bo_m.245897, Bo_m.245899, Bo_m.250999, Bo_m.260791, Bo_m.291391, Bo_m.291392, Bo_m.291395, Bo_m.291396, Bo_m.291398, Bo_m.332774, Bo_m.362816, Bo_m.3707, Bo_m.381963
OG0000018	Znev_18836, Znev_18837, Znev_18838, Znev_18855, Znev_18870, Znev_18871, Znev_18872, Znev_18873, Znev_18874, Znev_18875, Znev_18970, Znev_18971, Znev_18972, Znev_19035, Znev_19036, Znev_19048, Znev_19056, Znev_19061, Znev_19062, Znev_19063, Znev_19064, Znev_19065, Znev_19068, Znev_19069, Znev_19070	Bo_m.336334
OG0000019	Znev_13902	Bo_m.30311, Bo_m.30326, Bo_m.30344, Bo_m.30362, Bo_m.30384, Bo_m.30398, Bo_m.30426, Bo_m.30445, Bo_m.30475, Bo_m.30490, Bo_m.30505, Bo_m.30523, Bo_m.30537, Bo_m.30555, Bo_m.30574, Bo_m.30588, Bo_m.30618, Bo_m.30643, Bo_m.30668, Bo_m.30696, Bo_m.30720, Bo_m.30759, Bo_m.30773
OG0000020	Znev_01706, Znev_02859, Znev_05397, Znev_08395, Znev_08397, Znev_13355, Znev_13362, Znev_13627, Znev_13628	Bo_m.118413, Bo_m.118418, Bo_m.118424, Bo_m.167516, Bo_m.187610, Bo_m.187613, Bo_m.216589, Bo_m.360823, Bo_m.366706, Bo_m.366711, Bo_m.42897, Bo_m.42903, Bo_m.42909, Bo_m.42915
OG0000021	Znev_16255	Bo_m.118205, Bo_m.143263, Bo_m.190905, Bo_m.190909, Bo_m.190910, Bo_m.190912, Bo_m.190915, Bo_m.190917, Bo_m.190921, Bo_m.190923, Bo_m.190927, Bo_m.190930, Bo_m.194684, Bo_m.194688, Bo_m.221547, Bo_m.242779, Bo_m.310210, Bo_m.310213, Bo_m.314226, Bo_m.314228, Bo_m.62212, Bo_m.84835
OG0000022	Znev_02203	Bo_m.147032, Bo_m.147034, Bo_m.147039, Bo_m.147043, Bo_m.147046, Bo_m.147048, Bo_m.147051, Bo_m.147054, Bo_m.147056, Bo_m.147061, Bo_m.147067, Bo_m.147074, Bo_m.147076, Bo_m.147082, Bo_m.147085, Bo_m.147087, Bo_m.147091, Bo_m.147095, Bo_m.147099, Bo_m.147101, Bo_m.147103
OG0000023	Znev_00405, Znev_04600	Bo_m.109847, Bo_m.176761, Bo_m.176763, Bo_m.176764, Bo_m.176766, Bo_m.195464, Bo_m.208944, Bo_m.208950, Bo_m.222795, Bo_m.222804, Bo_m.222809, Bo_m.251066, Bo_m.282538, Bo_m.282539, Bo_m.282540, Bo_m.28584, Bo_m.28587, Bo_m.301756, Bo_m.341115, Bo_m.341117
OG0000024	Znev_15133	Bo_m.148901, Bo_m.148916, Bo_m.171411, Bo_m.257383, Bo_m.274016, Bo_m.274018, Bo_m.301348, Bo_m.341191, Bo_m.77641, Bo_m.77643, Bo_m.77645, Bo_m.77650, Bo_m.77651, Bo_m.77652, Bo_m.77654, Bo_m.77657, Bo_m.84330, Bo_m.84337, Bo_m.92286, Bo_m.92288, Bo_m.92292
OG0000025	Znev_02456, Znev_03222, Znev_05390, Znev_05391, Znev_08930, Znev_09478, Znev_09480, Znev_09481, Znev_13889, Znev_14590, Znev_16223	Bo_m.135610, Bo_m.137172, Bo_m.230018, Bo_m.24226, Bo_m.277402, Bo_m.277405, Bo_m.280627, Bo_m.284253, Bo_m.375955, Bo_m.66092
OG0000026	Znev_03693, Znev_03694, Znev_03695, Znev_09456, Znev_09820, Znev_11323, Znev_14096, Znev_14097, Znev_14098, Znev_15030, Znev_18431, Znev_18449	Bo_m.102298, Bo_m.102300, Bo_m.138630, Bo_m.155212, Bo_m.189929, Bo_m.189934, Bo_m.189937, Bo_m.199927, Bo_m.77037
OG0000027	Znev_14816	Bo_m.114171, Bo_m.114172, Bo_m.114173, Bo_m.114174, Bo_m.114177, Bo_m.114179, Bo_m.114187, Bo_m.127734, Bo_m.127739, Bo_m.127748, Bo_m.150700, Bo_m.173540, Bo_m.230928, Bo_m.230931, Bo_m.230935, Bo_m.230937, Bo_m.28368, Bo_m.28375, Bo_m.299161, Bo_m.334102
OG0000028	Znev_01993, Znev_02785, Znev_05498, Znev_10246, Znev_10247, Znev_10248, Znev_12711, Znev_12919, Znev_15896, Znev_16345, Znev_18229, Znev_18427	Bo_m.107845, Bo_m.219186, Bo_m.263287, Bo_m.48000, Bo_m.49483, Bo_m.98400, Bo_m.98405
OG0000029	Znev_01184, Znev_01907, Znev_02052, Znev_02081, Znev_09464, Znev_09948, Znev_09949, Znev_11998, Znev_16743	Bo_m.131782, Bo_m.144608, Bo_m.222173, Bo_m.222184, Bo_m.255533, Bo_m.264125, Bo_m.264143, Bo_m.285866, Bo_m.382468, Bo_m.382472
OG0000030	Znev_06556	Bo_m.206585, Bo_m.206597, Bo_m.206609, Bo_m.206620, Bo_m.206647, Bo_m.206661, Bo_m.206673, Bo_m.206685, Bo_m.206697, Bo_m.206708, Bo_m.206725, Bo_m.206738, Bo_m.206750, Bo_m.206766, Bo_m.206784, Bo_m.206808, Bo_m.206821, Bo_m.206832
OG0000031	Znev_10583	Bo_m.247233, Bo_m.247237, Bo_m.247248, Bo_m.247253, Bo_m.247266, Bo_m.247281, Bo_m.247295, Bo_m.247310, Bo_m.247324, Bo_m.247334, Bo_m.247348, Bo_m.247361, Bo_m.247376, Bo_m.247391, Bo_m.247405, Bo_m.247415, Bo_m.247429, Bo_m.247443
OG0000032	Znev_10346	Bo_m.59144, Bo_m.59151, Bo_m.59155, Bo_m.59163, Bo_m.59170, Bo_m.59175, Bo_m.59180, Bo_m.59185, Bo_m.59192, Bo_m.59198, Bo_m.59201, Bo_m.59210, Bo_m.59214, Bo_m.59220, Bo_m.59228, Bo_m.59232, Bo_m.59240, Bo_m.59245
OG0000033	Znev_09048	Bo_m.113730, Bo_m.113731, Bo_m.113732, Bo_m.113733, Bo_m.113734, Bo_m.113735, Bo_m.113736, Bo_m.113737, Bo_m.113740, Bo_m.113746, Bo_m.113747, Bo_m.113748, Bo_m.113749, Bo_m.113750, Bo_m.113751, Bo_m.113754, Bo_m.113755
OG0000034	Znev_03285	Bo_m.228394, Bo_m.244354, Bo_m.253308, Bo_m.253323, Bo_m.304101, Bo_m.329249, Bo_m.341271, Bo_m.342904, Bo_m.342907, Bo_m.353194, Bo_m.353197, Bo_m.369086, Bo_m.369089, Bo_m.372821, Bo_m.372822, Bo_m.73843, Bo_m.73844
OG0000035	Znev_02941	Bo_m.129740, Bo_m.173050, Bo_m.190344, Bo_m.190352, Bo_m.20165, Bo_m.221285, Bo_m.246827, Bo_m.258349, Bo_m.267655, Bo_m.306824, Bo_m.318150, Bo_m.333161, Bo_m.347612, Bo_m.63070, Bo_m.68114, Bo_m.74025, Bo_m.84178
OG0000036	Znev_00001, Znev_00631, Znev_00965, Znev_00966, Znev_03678, Znev_05731, Znev_11210, Znev_13807, Znev_15446, Znev_16491, Znev_16492, Znev_17409, Znev_18075	Bo_m.298985, Bo_m.298989, Bo_m.298993, Bo_m.298996
OG0000037	Znev_02505, Znev_02677, Znev_05180, Znev_05955, Znev_06569, Znev_07035, Znev_10884, Znev_11344, Znev_11995, Znev_12173, Znev_14617	Bo_m.131510, Bo_m.173348, Bo_m.202634, Bo_m.202640, Bo_m.373028, Bo_m.84012
OG0000038	Znev_02455, Znev_05261, Znev_13958, Znev_14898, Znev_15617, Znev_15619, Znev_15958, Znev_17043, Znev_18566, Znev_18718	Bo_m.102304, Bo_m.102309, Bo_m.140939, Bo_m.140942, Bo_m.280777, Bo_m.280783, Bo_m.46808
OG0000039	Znev_01238, Znev_05703, Znev_09620, Znev_09632, Znev_11243, Znev_14626, Znev_14627, Znev_15105	Bo_m.153141, Bo_m.176930, Bo_m.188458, Bo_m.188465, Bo_m.203507, Bo_m.247213, Bo_m.247221, Bo_m.273609, Bo_m.51933
OG0000040	Znev_15928	Bo_m.259534, Bo_m.259536, Bo_m.259539, Bo_m.259542, Bo_m.259544, Bo_m.259547, Bo_m.259548, Bo_m.259550, Bo_m.259554, Bo_m.259555, Bo_m.259559, Bo_m.259564, Bo_m.259567, Bo_m.259571, Bo_m.259573, Bo_m.259580
OG0000041	Znev_00549, Znev_12478	Bo_m.160209, Bo_m.160211, Bo_m.160212, Bo_m.171768, Bo_m.254410, Bo_m.254411, Bo_m.300960, Bo_m.334149, Bo_m.352854, Bo_m.352857, Bo_m.50457, Bo_m.50458, Bo_m.84522, Bo_m.95215
OG0000042	Znev_05539	Bo_m.175478, Bo_m.175486, Bo_m.175494, Bo_m.175500, Bo_m.175508, Bo_m.175515, Bo_m.175522, Bo_m.175530, Bo_m.175539, Bo_m.175545, Bo_m.175551, Bo_m.175559, Bo_m.175565, Bo_m.175572, Bo_m.175580
OG0000043	Znev_01975, Znev_04401, Znev_04660, Znev_07069, Znev_08732, Znev_11064, Znev_17659, Znev_17738, Znev_18189	Bo_m.102052, Bo_m.318254, Bo_m.353127, Bo_m.353139, Bo_m.367075, Bo_m.367539, Bo_m.377381
OG0000044	Znev_01775, Znev_06221, Znev_06443, Znev_06444, Znev_06445, Znev_06446, Znev_06452, Znev_17433	Bo_m.197909, Bo_m.218713, Bo_m.286011, Bo_m.286553, Bo_m.286558, Bo_m.286568, Bo_m.320762, Bo_m.85090
OG0000045	Znev_14289	Bo_m.207699, Bo_m.207700, Bo_m.207701, Bo_m.207703, Bo_m.207704, Bo_m.207706, Bo_m.207708, Bo_m.207709, Bo_m.207711, Bo_m.207712, Bo_m.207713, Bo_m.207714, Bo_m.207716, Bo_m.207717
OG0000046	Znev_01909, Znev_01910, Znev_10449, Znev_10612, Znev_10838, Znev_13550, Znev_14750	Bo_m.120456, Bo_m.209650, Bo_m.22991, Bo_m.268685, Bo_m.313827, Bo_m.325838, Bo_m.332638, Bo_m.333741
OG0000047	Znev_01464, Znev_01778, Znev_01779, Znev_05318, Znev_10214, Znev_12702, Znev_12774	Bo_m.108274, Bo_m.108282, Bo_m.108285, Bo_m.109022, Bo_m.247508, Bo_m.251476, Bo_m.357013, Bo_m.66825
OG0000048	Znev_07689, Znev_07690	Bo_m.49255, Bo_m.49262, Bo_m.49270, Bo_m.49287, Bo_m.49294, Bo_m.49319, Bo_m.49333, Bo_m.49347, Bo_m.49353, Bo_m.49360, Bo_m.49369, Bo_m.49375, Bo_m.49383
OG0000049	Znev_02526	Bo_m.104465, Bo_m.150021, Bo_m.150022, Bo_m.150027, Bo_m.150028, Bo_m.150029, Bo_m.150030, Bo_m.150031, Bo_m.150032, Bo_m.150033, Bo_m.150035, Bo_m.380186, Bo_m.380187
OG0000050	Znev_01772, Znev_04850, Znev_05381, Znev_06520, Znev_06551, Znev_14933, Znev_17075, Znev_17431	Bo_m.270805, Bo_m.307389, Bo_m.311363, Bo_m.311377, Bo_m.347604, Bo_m.352171
OG0000051	Znev_12371	Bo_m.118837, Bo_m.118839, Bo_m.118841, Bo_m.118847, Bo_m.118852, Bo_m.232528, Bo_m.232531, Bo_m.333827, Bo_m.352878, Bo_m.352881, Bo_m.352883, Bo_m.352888, Bo_m.352890
OG0000052	Znev_12600	Bo_m.198305, Bo_m.198306, Bo_m.198310, Bo_m.198317, Bo_m.198325, Bo_m.198327, Bo_m.198336, Bo_m.198345, Bo_m.198346, Bo_m.198353, Bo_m.198357, Bo_m.198364, Bo_m.198368
OG0000053	Znev_11275	Bo_m.138821, Bo_m.205157, Bo_m.235359, Bo_m.235360, Bo_m.271172, Bo_m.271181, Bo_m.271190, Bo_m.283832, Bo_m.372045, Bo_m.372046, Bo_m.4026, Bo_m.55036, Bo_m.55038
OG0000054	Znev_11762	Bo_m.106713, Bo_m.106725, Bo_m.106737, Bo_m.106749, Bo_m.106761, Bo_m.106772, Bo_m.106783, Bo_m.106795, Bo_m.106807, Bo_m.106819, Bo_m.106829, Bo_m.106842, Bo_m.106854
OG0000055	Znev_11163	Bo_m.53598, Bo_m.53623, Bo_m.53650, Bo_m.53666, Bo_m.53709, Bo_m.53738, Bo_m.53764, Bo_m.53790, Bo_m.53818, Bo_m.53844, Bo_m.53870, Bo_m.53898, Bo_m.53915
OG0000056		Bo_m.117622, Bo_m.117625, Bo_m.20944, Bo_m.265383, Bo_m.265389, Bo_m.265391, Bo_m.281033, Bo_m.281037, Bo_m.281040, Bo_m.281046, Bo_m.281051, Bo_m.281063, Bo_m.52200, Bo_m.52220
OG0000057	Znev_01931	Bo_m.48761, Bo_m.48764, Bo_m.48767, Bo_m.48770, Bo_m.48773, Bo_m.48776, Bo_m.48779, Bo_m.48782, Bo_m.48785, Bo_m.48788, Bo_m.48791, Bo_m.48794
OG0000058	Znev_03017, Znev_03649, Znev_05527, Znev_05988, Znev_08912, Znev_09776, Znev_10504, Znev_11735, Znev_12794, Znev_15255, Znev_16362	Bo_m.271314, Bo_m.363762
OG0000059	Znev_00225	Bo_m.149782, Bo_m.149789, Bo_m.149796, Bo_m.149804, Bo_m.149809, Bo_m.149816, Bo_m.149823, Bo_m.149830, Bo_m.149837, Bo_m.149843, Bo_m.149849, Bo_m.149857
OG0000060	Znev_16486	Bo_m.157246, Bo_m.157250, Bo_m.157255, Bo_m.157260, Bo_m.157266, Bo_m.157271, Bo_m.157276, Bo_m.157280, Bo_m.157286, Bo_m.157294, Bo_m.157299, Bo_m.157304
OG0000061	Znev_02704	Bo_m.184781, Bo_m.184782, Bo_m.184783, Bo_m.184785, Bo_m.184789, Bo_m.184791, Bo_m.184793, Bo_m.184799, Bo_m.184801, Bo_m.184803, Bo_m.184805, Bo_m.184806
OG0000062	Znev_02714, Znev_06958, Znev_10557, Znev_10561, Znev_10562, Znev_10564, Znev_14713	Bo_m.291170, Bo_m.329359, Bo_m.36890, Bo_m.42017, Bo_m.74745, Bo_m.96930
