Subcomponent ID	Famliy Name	Gene NAME	Component ID	ORF type(Based on Predicted protein)	Predicted protein length	"E-value(Overall,hmmsearch)"	"E-value(Best domain,hmmsearch)"	"Query Coverage(BLASTP, Trinotate, %)"	"Target ID(BLASTX,Trinotate)"	"Identity(BLASTX,Trinotate)"	"Query coordinates(BALSTX, Trinotate)"	"Target coordinates(BALSTP, Trinotate)"	"E-value(BLASTX, Trinotate)"	"Traget Length(BLASTX, Trinotate)"	"Full Name(BLASTX, Trinotate)"	"Target ID(BLASTP,Trinotate)"	"Identity(BLASTP,Trinotate)"	"Query coordinates(BALSTP, Trinotate)"	"Target coordinates(BALSTP, Trinotate)_2"	"E-value(BLASTP, Trinotate)"	"Traget Length(BLASTP, Trinotate)"	"Target Coverage(BLASTP, Trinotate,%)"	"Full Name(BLASTP, Trinotate)"	"Best Domain ID(PFAM, Trinotate)"	"Best Domain Name(PFAM,Trinoate)"	"E-value(Pfam,Trinotate)"
TRINITY_DN202202_c0_g1_i2	CASPs	Caspase-1-4	TRINITY_DN202202_c0_g1	complete	303	2.50E-45	3.10E-45	87.789	CASP1_SPOFR	0.48276	3105-2251	6-293	1.60E-84	299	Caspase-1	CASP1_SPOFR	0.50923	36-301	25-293	8.54E-93	299	89.967	Caspase-1	PF00656.19	Caspase domain	1.60E-44
TRINITY_DN207137_c3_g1_i2	CASPs	Caspase-1-5	TRINITY_DN207137_c3_g1	complete	468	2.10E-47	2.30E-47	59.615	CASP1_SPOFR	0.5036	1027-1860	28-296	6.07E-82	299	Caspase-1	CASP1_SPOFR	0.50179	188-466	27-296	7.99E-85	299	90.301	Caspase-1	PF00656.19	Caspase domain	1.90E-47
TRINITY_DN211317_c5_g1_i3	CASPs	Caspase-1-6	TRINITY_DN211317_c5_g1	complete	290	1.50E-48	2.00E-48	97.931	CASP1_SPOFR	0.61806	449-1300	10-296	6.46E-125	299	Caspase-1	CASP1_SPOFR	0.61806	6-289	10-296	1.66E-129	299	95.987	Caspase-1	PF00656.19	Caspase domain	2.40E-48
TRINITY_DN207884_c5_g1_i1	CASPs	Caspase-2	TRINITY_DN207884_c5_g1	complete	426	5.50E-38	6.50E-38	97.183	CASP2_CHICK	0.27816	1779-538	7-419	9.97E-41	424	Caspase-2	CASP2_CHICK	0.27816	1-414	7-419	2.50E-42	424	97.406	Caspase-2	PF00656.19	Caspase domain	3.10E-31
TRINITY_DN211335_c4_g1_i3	CASPs	Caspase-8	TRINITY_DN211335_c4_g1	5prime_partial	648	7.40E-39	9.20E-38	76.08	CASP8_DROPS	0.30723	328-1806	25-496	2.03E-63	511	Caspase-8	CASP8_DROPS	0.31124	110-602	25-496	1.02E-66	511	92.368	Caspase-8	PF00656.19	Caspase domain	7.00E-27
TRINITY_DN200371_c0_g1_i1	CATs	Catalase-1	TRINITY_DN200371_c0_g1	complete	229	6.20E-108	7.30E-108	93.45	CATA_DROME	0.60448	1070-276	232-499	1.64E-113	506	Catalase	CATA_DROME	0.62673	1-214	282-498	2.06E-93	506	42.885	Catalase	PF00199.16	Catalase	8.40E-55
TRINITY_DN206745_c0_g1_i1	CATs	Catalase-2	TRINITY_DN206745_c0_g1	5prime_partial	546	2.30E-222	2.90E-222	92.125	CATA_RUGRU	0.56213	127-1635	1-506	0	528	Catalase	CATA_RUGRU	0.56213	43-545	1-506	0	528	95.833	Catalase	PF00199.16	Catalase	7.40E-175
TRINITY_DN209411_c5_g4_i1	CATs	Catalase-3	TRINITY_DN209411_c5_g4	5prime_partial	163	1.40E-46	1.40E-46	75.46	CATA_BOVIN	0.712	119-487	3-127	6.07E-50	527	Catalase	CATA_BOVIN	0.712	40-162	3-127	1.00E-51	527	23.719	Catalase	PF00199.16	Catalase	1.50E-42
TRINITY_DN209411_c5_g5_i2	CATs	Catalase-4	TRINITY_DN209411_c5_g5	5prime_partial	539	1.10E-269	1.40E-269	91.28	CATA_PIG	0.69899	125-1600	5-499	0	527	Catalase	CATA_PIG	0.69899	42-533	5-499	0	527	93.928	Catalase	PF00199.16	Catalase	1.40E-191
TRINITY_DN210101_c1_g1_i1	CATs	Catalase-5	TRINITY_DN210101_c1_g1	complete	509	2.50E-234	3.10E-234	95.088	CATA_RUGRU	0.5773	122-1642	12-515	0	528	Catalase	CATA_RUGRU	0.59631	23-506	12-499	0	528	92.424	Catalase	PF00199.16	Catalase	6.00E-179
TRINITY_DN212150_c1_g1_i1	CATs	Catalase-6	TRINITY_DN212150_c1_g1	complete	509	2.80E-279	3.70E-279	98.428	CATA_DROME	0.70495	214-1716	1-504	0	506	Catalase	CATA_DROME	0.70495	1-501	1-504	0	506	99.605	Catalase	PF00199.16	Catalase	4.80E-196
TRINITY_DN89736_c0_g1_i1	CATs	Catalase-7	TRINITY_DN89736_c0_g1	5prime_partial	159	6.40E-37	7.20E-37	91.824	CATA_ASCSU	0.42568	2-439	351-498	2.01E-27	541	Catalase	CATA_ASCSU	0.42568	1-146	351-498	1.46E-28	541	27.357	Catalase	PF06628.9	Catalase-related immune-responsive	4.40E-18
TRINITY_DN200662_c1_g1_i1	CLIPs	Cationic trypsin-1	TRINITY_DN200662_c1_g1	5prime_partial	271	7.30E-64	8.80E-64	85.609	TRY3_RAT	0.38793	105-800	24-244	3.18E-49	247	Cationic trypsin-3	TRY1_BOVIN	0.38362	35-266	23-243	2.36E-52	246	89.837	Cationic trypsin	PF00089.23	Trypsin	1.70E-70
TRINITY_DN209414_c10_g1_i2	CLIPs	Cationic trypsin-2	TRINITY_DN209414_c10_g1	complete	296	7.00E-24	8.80E-24	90.878	TRY1_CANLF	0.31844	1794-1273	7-173	1.72E-15	246	Cationic trypsin	TRY1_CANLF	0.28832	10-278	7-243	2.60E-19	246	96.341	Cationic trypsin	PF00089.23	Trypsin	4.70E-28
TRINITY_DN194388_c0_g1_i1	CLIPs	Chymotrypsin BI-1	TRINITY_DN194388_c0_g1	complete	276	3.50E-51	4.00E-51	90.58	CTRB1_LITVA	0.48235	881-132	24-269	2.37E-61	271	Chymotrypsin BI	CTRB1_LITVA	0.48235	23-272	24-269	2.12E-69	271	90.775	Chymotrypsin BI	PF00089.23	Trypsin	7.00E-59
TRINITY_DN200811_c0_g1_i1	CLIPs	Chymotrypsin BI-2(CLIP-7)	TRINITY_DN200811_c0_g1	5prime_partial	297	2.10E-50	2.40E-50	96.97	CTRB1_LITVA	0.46721	152-883	41-271	5.21E-70	271	Chymotrypsin BI	CTRB1_LITVA	0.43403	7-294	2-271	1.81E-72	271	99.631	Chymotrypsin BI	PF00089.23	Trypsin	9.80E-57
TRINITY_DN204403_c0_g1_i3	CLIPs	Chymotrypsin BI-3	TRINITY_DN204403_c0_g1	complete	313	8.60E-53	9.60E-53	79.872	CTRB1_LITVA	0.44841	228-977	30-270	7.72E-63	271	Chymotrypsin BI	CTRB1_LITVA	0.44841	61-310	30-270	2.39E-64	271	88.93	Chymotrypsin BI	PF00089.23	Trypsin	2.00E-60
TRINITY_DN207574_c0_g1_i2	CLIPs	Chymotrypsin BI-4	TRINITY_DN207574_c0_g1	5prime_partial	266	7.80E-44	9.50E-44	91.729	CTRB1_LITVA	0.43426	55-786	24-269	2.80E-50	271	Chymotrypsin BI	CTRB1_LITVA	0.43028	19-262	24-269	3.80E-61	271	90.775	Chymotrypsin BI	PF00089.23	Trypsin	1.20E-54
TRINITY_DN202663_c0_g1_i2	CLIPs	Chymotrypsin-1-1	TRINITY_DN202663_c0_g1	internal	246	5.30E-34	7.00E-34	90.244	CTR1_SOLIN	0.28571	687-22	1-217	1.94E-27	222	Chymotrypsin-1	CTR1_SOLIN	0.28571	17-238	1-217	1.75E-27	222	97.748	Chymotrypsin-1	PF00089.23	Trypsin	1.30E-41
TRINITY_DN204325_c10_g3_i1	CLIPs	Chymotrypsin-1-2	TRINITY_DN204325_c10_g3	complete	283	7.30E-17	9.10E-17	72.085	CTR1_SOLIN	0.28293	1006-395	6-197	1.37E-13	222	Chymotrypsin-1	CTR1_SOLIN	0.28293	34-237	6-197	2.48E-14	222	86.486	Chymotrypsin-1	PF00089.23	Trypsin	2.60E-21
TRINITY_DN201014_c0_g1_i2	CLIPs	Chymotrypsin-2	TRINITY_DN201014_c0_g1	5prime_partial	255	4.20E-54	5.00E-54	87.843	CTR2_VESCR	0.4292	91-762	1-218	5.49E-47	218	Chymotrypsin-2	CTR2_VESCR	0.4292	31-254	1-218	2.45E-54	218	100	Chymotrypsin-2	PF00089.23	Trypsin	8.60E-61
TRINITY_DN202780_c0_g1_i1	CLIPs	Chymotrypsin-C	TRINITY_DN202780_c0_g1	complete	267	4.80E-38	5.90E-38	98.876	CTRC_HUMAN	0.31206	66-857	1-268	1.71E-25	268	Chymotrypsin-C	CTRC_HUMAN	0.31206	1-264	1-268	3.59E-27	268	100	Chymotrypsin-C	PF00089.23	Trypsin	8.70E-45
TRINITY_DN212694_c2_g1_i3	CLIPs	Coagulation factor X	TRINITY_DN212694_c2_g1	complete	289	1.80E-60	2.10E-60	80.969	FA10_CHICK	0.41564	5050-4349	236-469	1.29E-43	475	Coagulation factor X	FA10_CHICK	0.41564	42-275	236-469	3.11E-48	475	49.263	Coagulation factor X	PF00089.23	Trypsin	2.80E-61
TRINITY_DN205643_c7_g1_i3	CLIPs	Coagulation factor XII	TRINITY_DN205643_c7_g1	complete	316	2.10E-64	2.40E-64	72.785	FA12_PIG	0.4	1413-724	372-613	2.98E-44	616	Coagulation factor XII	FA12_PIG	0.4	64-293	372-613	7.22E-48	616	39.286	Coagulation factor XII	PF00089.23	Trypsin	1.40E-61
TRINITY_DN198392_c0_g1_i1	CLIPs	Kallikrein-13(CLIP-11)	TRINITY_DN198392_c0_g1	5prime_partial	332	3.30E-28	3.90E-28	84.639	KLK13_HUMAN	0.25676	1182-340	4-259	6.76E-18	277	Kallikrein-13	KLK13_HUMAN	0.25676	37-317	4-259	2.67E-18	277	92.419	Kallikrein-13	PF00089.23	Trypsin	7.70E-26
TRINITY_DN198284_c0_g2_i1	CLIPs	Limulus clotting factor C	TRINITY_DN198284_c0_g2	complete	291	6.30E-42	8.00E-42	92.096	LFC_CARRO	0.34375	266-1189	712-1019	1.28E-47	1019	Limulus clotting factor C	LFC_CARRO	0.35484	4-271	748-1019	3.10E-45	1019	26.693	Limulus clotting factor C	PF00089.23	Trypsin	4.30E-45
TRINITY_DN207071_c1_g2_i1	CLIPs	Limulus clotting factor C(CLIP-3)	TRINITY_DN207071_c1_g2	complete	620	4.40E-39	8.50E-39	59.516	LFC_CARRO	0.29691	2004-898	603-1017	5.35E-39	1019	Limulus clotting factor C	LFC_CARRO	0.29691	248-616	603-1017	2.96E-40	1019	40.726	Limulus clotting factor C	PF00089.23	Trypsin	5.90E-41
TRINITY_DN177253_c0_g2_i1	CLIPs	Plasma kallikrein-1	TRINITY_DN177253_c0_g2	5prime_partial	311	1.60E-54	2.00E-54	92.926	KLKB1_BOVIN	0.31126	1506-640	357-631	4.19E-32	636	Plasma kallikrein	KLKB1_BOVIN	0.31126	22-310	357-631	6.61E-34	636	43.239	Plasma kallikrein	PF00089.23	Trypsin	3.40E-48
TRINITY_DN204587_c3_g1_i2	CLIPs	Plasma kallikrein-2	TRINITY_DN204587_c3_g1	5prime_partial	308	7.10E-61	8.10E-61	78.247	KLKB1_BOVIN	0.42105	922-200	388-625	9.75E-54	636	Plasma kallikrein	KLKB1_BOVIN	0.42105	54-294	388-625	2.04E-54	636	37.421	Plasma kallikrein	PF00089.23	Trypsin	2.10E-58
TRINITY_DN210028_c8_g1_i1	CLIPs	Plasma kallikrein-3	TRINITY_DN210028_c8_g1	complete	309	5.40E-58	6.70E-58	75.728	KLKB1_HUMAN	0.41152	251-952	382-621	3.93E-46	638	Plasma kallikrein	KLKB1_HUMAN	0.41152	54-287	382-621	4.05E-49	638	37.618	Plasma kallikrein	PF00089.23	Trypsin	1.40E-62
TRINITY_DN197303_c0_g2_i5	CLIPs	Proclotting enzyme-1	TRINITY_DN197303_c0_g2	complete	211	8.50E-40	1.10E-39	86.73	PCE_TACTR	0.36316	105-653	184-370	2.50E-26	375	Proclotting enzyme	PCE_TACTR	0.36316	16-198	184-370	3.57E-27	375	49.867	Proclotting enzyme	PF00089.23	Trypsin	1.70E-35
TRINITY_DN201210_c0_g2_i1	CLIPs	Proclotting enzyme-2	TRINITY_DN201210_c0_g2	complete	297	4.80E-68	6.40E-68	82.155	PCE_TACTR	0.39419	1010-345	139-374	1.49E-45	375	Proclotting enzyme	PCE_TACTR	0.38783	35-278	117-374	2.54E-52	375	68.8	Proclotting enzyme	PF00089.23	Trypsin	3.00E-66
TRINITY_DN207232_c6_g2_i1	CLIPs	Proclotting enzyme-3	TRINITY_DN207232_c6_g2	complete	306	1.30E-60	1.60E-60	89.216	PCE_TACTR	0.33904	1717-899	90-374	4.57E-45	375	Proclotting enzyme	PCE_TACTR	0.34247	13-285	90-374	4.25E-51	375	76	Proclotting enzyme	PF00089.23	Trypsin	8.20E-64
TRINITY_DN43074_c1_g1_i1	CLIPs	Proclotting enzyme-4	TRINITY_DN43074_c1_g1	internal	104	8.40E-26	9.20E-26	99.038	PCE_TACTR	0.46667	2-310	227-331	3.69E-21	375	Proclotting enzyme	PCE_TACTR	0.46667	1-103	227-331	1.18E-28	375	28	Proclotting enzyme	PF00089.23	Trypsin	1.00E-25
TRINITY_DN201196_c3_g1_i1	CLIPs	Proclotting enzyme(CLIP-10)	TRINITY_DN201196_c3_g1	complete	328	1.40E-55	5.40E-55	74.085	PCE_TACTR	0.37931	338-1066	117-374	3.82E-46	375	Proclotting enzyme	PCE_TACTR	0.37931	30-272	117-374	3.82E-48	375	68.8	Proclotting enzyme	PF00089.23	Trypsin	2.00E-54
TRINITY_DN203423_c3_g1_i1	CLIPs	Proclotting enzyme(CLIP-8)	TRINITY_DN203423_c3_g1	5prime_partial	461	1.80E-74	1.80E-74	61.171	PCE_TACTR	0.41438	579-1379	87-375	3.03E-62	375	Proclotting enzyme	PCE_TACTR	0.40717	178-459	74-375	2.68E-66	375	80.533	Proclotting enzyme	PF00089.23	Trypsin	8.70E-64
TRINITY_DN201352_c0_g1_i2	CLIPs	Putative serine protease 41	TRINITY_DN201352_c0_g1	5prime_partial	574	2.90E-47	5.70E-47	43.38	PRS41_HUMAN	0.36538	970-1725	53-301	8.57E-34	318	Putative serine protease 41	PRS41_HUMAN	0.36576	324-572	53-298	1.03E-34	318	77.358	Putative serine protease 41	PF00089.23	Trypsin	5.80E-47
TRINITY_DN200535_c0_g1_i4	CLIPs	Retinol dehydrogenase 14	TRINITY_DN200535_c0_g1	complete	261	1.80E-56	2.40E-56	106.897	RDH14_HUMAN	0.46259	247-1083	41-334	6.05E-62	336	Retinol dehydrogenase 14	RDH14_HUMAN	0.46259	36-314	41-334	3.33E-77	336	87.5	Retinol dehydrogenase 14	PF00106.22	short chain dehydrogenase	1.40E-35
TRINITY_DN204701_c0_g1_i1	CLIPs	Serine protease 44	TRINITY_DN204701_c0_g1	complete	371	2.90E-71	3.20E-71	89.218	PRS44_MOUSE	0.33136	1458-466	53-346	9.92E-42	372	Serine protease 44	PRS44_MOUSE	0.33136	35-365	53-346	1.89E-43	372	79.032	Serine protease 44	PF00089.23	Trypsin	4.50E-57
TRINITY_DN199952_c0_g1_i1	CLIPs	Serine protease 48	TRINITY_DN199952_c0_g1	complete	259	4.60E-34	5.40E-34	98.069	PRS48_HUMAN	0.28369	65-856	12-278	3.85E-23	328	Serine protease 48	PRS48_HUMAN	0.28676	5-258	12-268	1.94E-23	328	78.354	Serine protease 48	PF00089.23	Trypsin	9.20E-31
TRINITY_DN199209_c0_g2_i1	CLIPs	Serine protease easter-4	TRINITY_DN199209_c0_g2	complete	355	1.10E-41	1.40E-41	86.479	EAST_DROME	0.2956	236-1156	101-390	1.14E-28	392	Serine protease easter	EAST_DROME	0.2956	25-331	101-390	2.30E-29	392	73.98	Serine protease easter	PF00089.23	Trypsin	1.60E-36
TRINITY_DN203131_c1_g1_i1	CLIPs	Serine protease easter-5	TRINITY_DN203131_c1_g1	complete	360	3.30E-57	4.10E-57	81.389	EAST_DROME	0.34648	361-1341	42-390	7.42E-46	392	Serine protease easter	EAST_DROME	0.37942	65-357	87-390	1.63E-53	392	77.551	Serine protease easter	PF00089.23	Trypsin	9.30E-49
